Lead ID,Brand,Legal Name,INN,OGRN/OGRNIP,Region,Segment,Revenue/Scale,Signal Level,Signal Summary,Owner,CEO,LPR,LPR Role,Primary Phone,Primary Email,Telegram,VK,HH Contact,Contact Form,Other Contact,Contact Type,Contact Source,Number Of Contacts Found,Consulting Hypothesis,Final Quick Status,Added At,Updated At,Run ID,Campaign ID
N5K-0258,Dircode / Диркод,ООО «ДИРКОД»,7730293063,1227700809995,Москва,Умные замки / дверная электроника / B2B и retail,Выручка 211 994 000 ₽ за 2025 год; 14 сотрудников; действующая компания,S1,"Компания усиливает действующий отдел продаж: задача увеличить выручку через управление конверсией, KPI и новые каналы B2B-партнёрств с дизайнерами, ЖК, УК и установщиками, а также улучшать воронку и качество лидов.",Полетаев Антон Александрович 100%,Полетаев Антон Александрович,Полетаев Антон Александрович,Генеральный директор и собственник 100%,+7 (495) 414-49-00,info@dircode.ru,,,https://hh.ru/vacancy/129771762,https://dircode.ru/contacts,,Корпоративный маршрут к owner-CEO через официальный телефон/email/сайт и вакансию,Официальный сайт Dircode; РБК Компании; ЗаЧестныйБизнес/ФНС; HeadHunter,3,"Рост продаж и конверсии: сегментация B2B/retail, развитие партнёрских каналов, CRM-воронка, KPI, lead quality, повторные продажи и 90-дневный план коммерческого роста.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-16T05:00:58+03:00,2026-08-16T05:00:58+03:00,N5K-20260816-245,new_5000
N5K-0259,Международный Институт Профессиональной Психологии / МИПП,ООО «МЕЖДУНАРОДНЫЙ ИНСТИТУТ ПРОФЕССИОНАЛЬНОЙ ПСИХОЛОГИИ»,7733407223,1237700212012,Москва,Дополнительное образование / EdTech / психология,"Выручка 13,4 млн ₽ за 2025 год; 5 сотрудников по данным за 2025 год; действующая компания; текущая команда продаж 2–3 менеджера по вакансии",S1,"Основатель передаёт продажи будущему РОПу: требуется превратить продажи, работающие на энтузиазме основателя, в системный отдел, провести аудит воронки, доработать CRM, внедрить отчётность и масштабировать команду.",Володина Марина Федоровна 100%,Володина Марина Федоровна,Володина Марина Федоровна,Основатель / собственник 100% / генеральный директор,+7 (499) 325-70-50,admin@instmipp.ru,,,https://hh.ru/vacancy/129252794,https://instmipp.ru/info,,Корпоративный маршрут к owner-CEO через официальный телефон/email/сайт и вакансию,Официальный сайт МИПП; Фирмотека/ЕГРЮЛ; HeadHunter,3,"Построение системного отдела продаж EdTech: аудит воронки, CRM, конверсии, регулярный менеджмент, найм и обучение команды, связка маркетинг-продажи-продукт и unit-экономика запусков.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-16T05:00:58+03:00,2026-08-16T05:00:58+03:00,N5K-20260816-245,new_5000
N5K-0260,Промышленные редукторы,ООО «ПРОМЫШЛЕННЫЕ РЕДУКТОРЫ»,7448207811,1177456094870,Челябинская область,Промышленное оборудование / редукторы / B2B,"Выручка 200,98 млн ₽ за 2025 год по свежей бухгалтерской отчетности; действующая компания",S1,"Компания ищет РОПа для роста масштабов B2B-продаж: организация продающего отдела, KPI, выявление узких мест, рост конверсии, CRM, регламенты, найм и обучение менеджеров.",Черепанов Антон Владимирович 100%,Кузнецова Наталья Николаевна — управляющий ИП,Черепанов Антон Владимирович,Собственник 100% / стратегический ЛПР,+7 (351) 200-94-14,zakaz1@promred.ru,,,https://hh.ru/vacancy/130207257,https://promred.ru/kontakty/,,Корпоративный маршрут к собственнику через официальный телефон/email/сайт и вакансию,Официальный сайт Промышленные редукторы; Т-Банк/ФНС; HeadHunter,3,"Систематизация и масштабирование B2B-продаж промышленного оборудования: сегментация клиентов, CRM-воронка, KPI, регламенты, менеджмент команды, кросс-функциональная связка маркетинг-продажи и 90-дневный план роста.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-16T05:57:55+03:00,2026-08-16T05:57:55+03:00,N5K-20260816-246,new_5000
N5K-0261,Кристон-Кадастр,ООО «КРИСТОН-КАДАСТР» / ООО «КРИСТОН-К»,7725316710,1167746456404,Москва,Кадастровые и геодезические услуги / B2B,"Выручка 73,696 млн ₽ за 2025 год; 13 сотрудников; действующая компания",S1,"Компания ищет РОПа с возможностью строить отдел и влиять на стратегию; работа строится на CRM, автоматизации, B2B-продажах, планировании и развитии продаж.",Человечков Антон Алексеевич 50%; Фурсова Кристина Юрьевна 50%,Человечков Антон Алексеевич,Человечков Антон Алексеевич,Генеральный директор / совладелец 50% / практический ЛПР,+7 (499) 110-66-13,info@kriston-k.ru,,,https://hh.ru/vacancy/129480935,https://kriston-kadastr.ru/contacts,,Корпоративный маршрут к owner-CEO через официальный телефон/email/сайт и вакансию,Официальный сайт Кристон-Кадастр; РБК Компании; HeadHunter,3,"Рост B2B-продаж профессиональных кадастровых услуг: сегментация клиентов, CRM-воронка, KPI, стандарты продаж, связка маркетинга и коммерции, развитие команды и управляемый pipeline.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-16T05:57:55+03:00,2026-08-16T05:57:55+03:00,N5K-20260816-246,new_5000
N5K-0262,Орион-Металл,ООО «ОРИОН МЕТАЛЛ»,7719697390,5087746300362,Москва,Металлопрокат и продукция для ЖКХ / B2B,"Выручка 28,726 млн ₽ за 2025 год; 6 сотрудников; действующая компания",S1,"Компания усиливает B2B-продажи: требуется разработка и внедрение KPI и отчетности, работа с CRM, переговоры с ЛПР и развитие продаж.",Годунова Александра Вячеславовна 100%,Ушакова Элла Петровна,Ушакова Элла Петровна,Генеральный директор / практический ЛПР,+7 (499) 707-20-60,info@gk-orionmetall.ru,,,https://hh.ru/vacancy/129985624,https://orionmetall.ru/contact,,Корпоративный маршрут к CEO через официальный телефон/email/сайт и вакансию,Официальный сайт Орион-Металл; РБК Компании; HeadHunter,3,"Систематизация B2B-продаж металлопроката и продукции для ЖКХ: CRM, KPI, отчетность, работа с ЛПР, развитие клиентской базы и управляемый план роста выручки и маржи.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-16T05:57:55+03:00,2026-08-16T05:57:55+03:00,N5K-20260816-246,new_5000
N5K-0263,CARP,ООО «КАРП»,7842224364,1247800080076,Санкт-Петербург,Автоподбор и поставка автомобилей / услуги,"Выручка 35,176 млн ₽ за 2025 год; опубликованная ССЧ 7 сотрудников за 2024 год; действующая компания",S1,"Компания ищет руководителя продаж для построения и управления отделом, роста конверсии и систематизации продаж в растущем бизнесе автоподбора и поставки автомобилей.",Сунцов Дмитрий Сергеевич — 100%,Сунцов Дмитрий Сергеевич,Сунцов Дмитрий Сергеевич,Генеральный директор / собственник 100%,+7 999 021-99-90,9990219990@inbox.ru,,,https://hh.ru/vacancy/130251826,https://carp-auto.ru/,,Корпоративный маршрут к owner-CEO через официальный телефон/email/сайт и вакансию,Официальный сайт CARP; РБК Компании/ЕГРЮЛ; HeadHunter,3,"Систематизация продаж автоподбора и поставки автомобилей: CRM-воронка, KPI и конверсии, стандарты работы команды, сегментация спроса, управляемый pipeline и 90-дневный план роста.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-16T07:01:14+03:00,2026-08-16T07:01:14+03:00,N5K-20260816-247,new_5000
N5K-0264,ФранчБрокер,ООО «ФРАНЧБРОКЕР»,1655497346,1231600042277,Республика Татарстан,Франчайзинг / упаковка и продажа франшиз / B2B,"Выручка 210,464 млн ₽ за 2025 год; 21 сотрудник за 2025 год; действующая компания",S1,"Компания быстро растёт и формирует/масштабирует отдел продаж: требуется системный РОП, отвечающий за воронку, CRM, команду, переговоры и стабильное выполнение плана.",Гилязов Булат Шамилевич; Шарифуллин Артур Ранасович,Гилязов Булат Шамилевич,Гилязов Булат Шамилевич,Генеральный директор / совладелец,8-800-444-29-28,franchbroker.org@gmail.com,,,https://krasnodar.hh.ru/vacancy/130087936,https://franch-broker.ru/contacts.html,,Корпоративный маршрут к CEO через официальный телефон/email/форму и вакансию,Официальный сайт ФранчБрокер; Xfirm/ФНС; HeadHunter,3,"Масштабирование B2B-продаж франчайзинговых услуг: единая модель филиалов, CRM-воронка, KPI и конверсии, стандарты переговоров, управляемость команды и рост маржинальности при расширении сети.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-16T07:01:14+03:00,2026-08-16T07:01:14+03:00,N5K-20260816-247,new_5000
N5K-0265,Self / Сэлф_,ООО «СЭЛФ СОФТ ПРОДАКШН»,7706432164,5157746215215,Москва,Заказная IT-разработка / цифровые экосистемы / B2B,"Выручка 185,70 млн ₽ за 2025 год; 35 сотрудников за 2025 год; действующая компания",S1,"Компания ищет директора/руководителя продаж с задачами увеличить оборот в 3 раза за 3 года, масштабировать продажи на Россию, СНГ и MENA, расширить отдел и систематизировать метрики каналов, CRM и прибыльность.",Шабасон Владимир Евгеньевич — 60%; Иванов Кирилл Александрович — 40%,Иванов Кирилл Александрович,Иванов Кирилл Александрович,Генеральный директор / совладелец 40%,+7 (495) 136-62-71,weloveyou@self.team,,,https://hh.ru/vacancy/129518801,https://self.team/ru/who-we-are,,Корпоративный маршрут к owner-CEO через официальный телефон/email/форму и вакансию,Официальный сайт Self; Т-Банк/ФНС; HeadHunter,3,"Масштабирование B2B-продаж IT-разработки: сегментация рынков и каналов, CRM-воронка, план-факт и unit-экономика, KPI команды, международный pipeline и 90-дневный план роста выручки и маржинальности.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-16T08:01:15+03:00,2026-08-16T08:01:15+03:00,N5K-20260816-248,new_5000
N5K-0266,Студия345 / продюсерский центр ГРАНД,ООО «СТУДИЯ345»,6658485482,1169658043389,Свердловская область / Москва,Event / премиальный контент / корпоративные B2B-события,"Выручка 52,9 млн ₽ за 2025 год; внешний кадровый профиль указывает команду 15–50 человек; действующая компания",S1,"Компания формирует системную функцию корпоративных B2B-продаж: стратегия, планы по выручке и маржинальности, команда, полный цикл продаж, CRM, KPI, отчетность и прямые переговоры с топ-ЛПР. Повторный сигнал в мае 2026 подтверждает развитие B2B-направления.",Ковшаров Александр Игоревич — 50%; Тагинцев Денис Евгеньевич — 50%,Мельникова Анна Александровна,Мельникова Анна Александровна; Тагинцев Денис Евгеньевич,Директор; совладелец 50% / руководитель продюсерского центра,,,,,https://hh.ru/employer/12545228,https://grand-production.ru/,,"Корпоративный маршрут к директору/совладельцу через профиль прямого работодателя HH, вакансию и официальный сайт, указанный работодателем",HeadHunter direct employer profile; grand-production.ru; budu.jobs; актуальные реестровые данные,3,"Построение управляемой B2B-модели корпоративных продаж: сегментация клиентов и продуктов, CRM-воронка, KPI и маржинальность, стандарты ключевых переговоров, pipeline корпоративных пакетов и 90-дневный план роста повторяемой выручки.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-16T09:12:00+03:00,2026-08-16T09:12:00+03:00,N5K-20260816-249,new_5000
N5K-0267,Botamin,ООО «АИ ЛАБ»,9703190552,1247700620364,Москва,AI / B2B SaaS / автоматизация продаж,"Выручка 18,525 млн ₽ за 2025 год; действующая частная IT-компания; микропредприятие",S1,Компания нанимает Head of Sales для B2B Salestech-продукта и масштабирует коммерческую функцию вокруг работающего AI-продукта с кейсами внедрения; задача напрямую связана с систематизацией и ростом B2B-продаж.,Фартушный Александр Сергеевич — 56%; ООО «ФРИИ ИНВЕСТ» — 20%; Дроздов Александр Иванович — 16%; Тащян Асмик Тиграновна — 8%,Фартушный Александр Сергеевич,Фартушный Александр Сергеевич,Генеральный директор / совладелец 56%,+7 (977) 090-95-85,,,,https://hh.ru/vacancies/rukovoditel_menedzher_proekta/za_poslednie_tri_dnya,https://botamin.ru/,,Корпоративный маршрут к owner-CEO через официальный телефон/сайт и прямой HH-сигнал работодателя,Официальный сайт Botamin; HeadHunter; актуальные реестровые данные,3,"Масштабирование B2B-продаж AI-продукта: сегментация ICP и каналов, CRM-воронка, KPI и конверсии, стандарты discovery/demo, unit-экономика коммерческой функции и 90-дневный план роста повторяемой выручки.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-16T09:24:00+03:00,2026-08-16T09:24:00+03:00,N5K-20260816-250,new_5000
N5K-0268,ALLIO,ООО «АЛЛИО»,7838106248,1227800087668,Санкт-Петербург,B2B SaaS / ERP для девелоперов / PropTech,"Выручка 104,117 млн ₽ за 2025 год; действующая частная IT-компания; субъект МСП",S1,"Компания ищет руководителя B2B-продаж, который должен построить систему: управлять длинной воронкой, процессами и отчетностью, развивать команду и KPI; роль напрямую подчиняется собственнику и предусматривает рост до коммерческого директора.",Суднишникова Валентина Андреевна — 100%,Суднишникова Валентина Андреевна,Суднишникова Валентина Андреевна,Генеральный директор / единственный учредитель,+7 (812) 642-71-37,sales@allio.ru,,,https://spb.hh.ru/vacancy/128473660,https://allio.ru/contacts,,Корпоративный маршрут к owner-CEO через официальный sales-телефон/email/форму и прямой HH-сигнал,Официальный сайт ALLIO; HeadHunter; актуальные реестровые данные 2026,3,"Систематизация enterprise B2B-продаж PropTech: ICP и сегментация девелоперов, длинная CRM-воронка, KPI и конверсии, стандарты discovery/demo, pipeline forecasting и управляемая модель роста коммерческой команды.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-16T10:18:00+03:00,2026-08-16T10:18:00+03:00,N5K-20260816-251,new_5000
N5K-0269,UNIOR / Униор Профешнл Тулз,ООО «УНИОР ПРОФЕШНЛ ТУЛЗ»,7810030006,1057810811332,Санкт-Петербург,Промышленный инструмент / B2B-поставки,"Выручка 269,562 млн ₽ за 2025 год; действующая компания; 20+ лет работы в РФ",S1,"Компания ищет руководителя по продажам и бизнес-процессам: контроль коммерческой системы, развитие команды, крупные B2B-сделки и разгрузка генерального директора от операционной работы; заявлен рост до коммерческого директора.",,Петлина Татьяна Владимировна,Петлина Татьяна Владимировна,Генеральный директор,+7 (812) 449-83-50,unior@unior.ru,,,https://spb.hh.ru/vacancy/130142365,https://www.unior.ru/contacts/,,Корпоративный маршрут к генеральному директору через официальный телефон/email и прямой HH-сигнал,Официальный сайт UNIOR; HeadHunter; актуальные реестровые данные 2026,3,"Усиление B2B-коммерции промышленного поставщика: сегментация ключевых отраслей и клиентов, pipeline крупных сделок, KPI команды, CRM/forecasting, стандарты key-account management и снижение операционной нагрузки CEO.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-16T10:18:00+03:00,2026-08-16T10:18:00+03:00,N5K-20260816-251,new_5000
N5K-0270,Климатическая Компания ОЗОН,ООО «КЛИМАТИЧЕСКАЯ КОМПАНИЯ «ОЗОН»,8603117395,1048600517459,Ханты-Мансийский автономный округ — Югра,HVAC / вентиляционное оборудование / B2B-инжиниринг,"Выручка 447,853 млн ₽ за 2025 год; 65 сотрудников; действующая компания",S1,"Компания растёт и выходит на новые рынки: требуется создать удалённый B2B-отдел продаж, разработать стратегию по России и Москве, строить длинные сделки 30–50+ млн ₽, CRM-воронку и аналитику.",Колесник Сергей Владимирович — 100%,Колесник Сергей Владимирович,Колесник Сергей Владимирович,Генеральный директор / единственный учредитель,+7 (3466) 31-60-10,,,,https://hh.ru/vacancy/129582718,https://zavod.ozon-air.ru/,,Корпоративный маршрут к owner-CEO через официальный телефон/сайт и прямой HH-сигнал,Официальный сайт ОЗОН; HeadHunter; РБК Компании/реестровые данные,3,"Масштабирование инженерных B2B-продаж по РФ: market-entry по регионам, ICP застройщиков и промышленных клиентов, длинная CRM-воронка, KPI/forecasting, стандарты выхода на C-level и управление проектными сделками.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-16T10:18:00+03:00,2026-08-16T10:18:00+03:00,N5K-20260816-251,new_5000
N5K-0271,НПО ГЕОН,ООО НПО «ГЕОН»,5259152137,1215200032629,Нижегородская область,Промышленное оборудование / очистка сточных вод / B2B-инжиниринг,"Действующая частная компания; 5 сотрудников; выручка 53,984 млн ₽ за 2024 год; публичный источник ФНС/Росстат также показывает доход 131,955 млн ₽ за 2025 год",S1,"Компания активно растет и усиливает коммерческий блок: требуется выстроить системную B2B-функцию продаж, сформировать команду, работать с крупными проектами, валовой прибылью, маржой, прогнозированием и KPI; заявлен рост роли до коммерческого директора.",Фёдоров Георгий Станиславович — 100%,Фёдоров Георгий Станиславович,Фёдоров Георгий Станиславович,Директор / единственный учредитель,,gfedorov@geonplast.ru,,,https://dreamjob.ru/employers/5783776/vakansii/131049917,,,Именной email owner-CEO из открытого реестрового источника плюс маршрут через актуальную вакансию работодателя,Открытые реестровые данные; Careerist/DreamJob/HeadHunter vacancy mirrors,2,"Систематизация и масштабирование B2B-продаж промышленного оборудования: сегментация отраслей и ICP, pipeline крупных проектов, KPI/forecasting, валовая прибыль и маржинальность, стандарты key-account продаж и план роста коммерческой команды.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-16T10:58:51+03:00,2026-08-16T10:58:51+03:00,N5K-20260816-252,new_5000
N5K-0272,Золотая Усадьба,ООО ПСК «ЗОЛОТАЯ УСАДЬБА»,0274948414,1190280048034,Республика Башкортостан,Загородное строительство / деревянные дома / собственное производство,"Действующая частная производственно-строительная компания; официальный бренд сообщает 15 лет опыта, 700+ построенных объектов, собственное производство и архитектурное бюро; текущая вакансия фиксирует план 500 млн ₽ на 2026 год и построение профессионального отдела продаж; реестровый источник показывает 5 сотрудников и 90,364 млн ₽ выручки за 2024 год как последний публично раскрытый числовой финансовый ориентир",S1,"Компания прямо заявляет план масштабирования до 500 млн ₽ в 2026 году, строит профессиональный отдел продаж с нуля, внедряет AI-инструменты и выходит на новые рынки. Это прямой запрос на систематизацию и масштабирование коммерческой функции.",Букомбаев Рустам Закирович — 100%,Букомбаев Рустам Закирович,Букомбаев Рустам Закирович,Директор / единственный учредитель,+7 (347) 299-00-14,info@usadbaufa.ru,,,https://ufa.hh.ru/vacancy/130226633,https://золотаяусадьба.рф/contacts/,,Официальный корпоративный маршрут к owner-CEO через телефон/email/форму плюс актуальная вакансия работодателя,Официальный сайт бренда + HeadHunter + актуальные реестровые данные,3,"Построение масштабируемой коммерческой системы под цель 500 млн ₽: сегментация B2C/B2B, воронка и CRM, KPI, управление отделом продаж, повышение конверсии, синхронизация маркетинга и продаж, подготовка выхода на новые рынки.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-16T12:18:00+03:00,2026-08-16T12:18:00+03:00,N5K-20260816-253,new_5000
N5K-0273,Prosche.AI / Платформа Проще,ООО «ПЛАТФОРМА «ПРОЩЕ»,9707030870,1247700383534,Москва,B2B SaaS / AI / Data-продукты,"Действующая частная IT-компания; выручка 288,322 млн ₽ за 2025 год; 50 сотрудников по данным ФНС за 2025 год",S1,"В июле 2026 компания запускает новое бизнес-направление Hitly — партнерскую платформу для продажи B2B SaaS/AI-продуктов МСБ; ищет руководителя направления с ответственностью за P&L, масштабирование гипотез, финансовую модель и развитие партнерской экосистемы.",Голуб Сергей Александрович — 70%; Бочкарев Николай Александрович — 30%,Голуб Сергей Александрович,Голуб Сергей Александрович,Генеральный директор / совладелец 70%,+7 (499) 130-10-64,support@prosche.ai,,,https://spb.hh.ru/vacancies/agent,https://prosche.ai/,,Официальный корпоративный маршрут к owner-CEO через телефон/email/сайт плюс свежий employer signal,Официальный сайт Prosche.AI + HeadHunter/JobRun + актуальные реестровые данные 2026,3,"Систематизация запуска нового B2B-направления: GTM и ICP партнерской платформы, P&L и unit economics, партнерская воронка, KPI/forecasting, CRM, масштабирование каналов и синхронизация продукта с коммерческой функцией.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-16T13:17:00+03:00,2026-08-16T13:17:00+03:00,N5K-20260816-254,new_5000
N5K-0274,S-COPY / С-КОПИ,ООО «С-КОПИ»,7840054244,1167847293371,Санкт-Петербург,Полиграфия / инженерная печать / B2B,"Действующая частная компания; выручка 459,2 млн ₽ за 2025 год; 35 сотрудников по данным ФНС за 2025 год",S1,"Компания активно расширяется по регионам и в 2026 году запускает новое B2B-направление печати самоклеящихся этикеток; одновременно формирует отдельную коммерческую команду направления, использует CRM и строит выход на ЛПР.",Чивирев Артур Юрьевич — 100%,Чивирев Артур Юрьевич,Чивирев Артур Юрьевич,Генеральный директор / единственный учредитель,+7 (812) 635-23-33,aaa@s-copy.ru,,,https://spb.hh.ru/vacancy/129892002,https://s-copy.spb.ru/kontakty/,,Официальный корпоративный маршрут к owner-CEO через телефон/email/форму плюс свежие вакансии нового направления,Официальный сайт S-COPY + HeadHunter/Remote-job + актуальные данные ФНС/ЕГРЮЛ,3,"Коммерческая архитектура нового B2B-направления этикеток: ICP и сегментация, outbound/leadgen, CRM-воронка, KPI, экономика канала, стандарты выхода на ЛПР и масштабирование направления по регионам без потери маржи.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-16T13:17:00+03:00,2026-08-16T13:17:00+03:00,N5K-20260816-254,new_5000
N5K-0275,ПланФакт,ООО «МАКСИМУМ ВЕБ»,3233502746,1093254010717,Брянская область,B2B SaaS / управленческий финансовый учет,"Действующая частная IT-компания; выручка 222,266 млн ₽ за 2025 год; профиль работодателя указывает команду около 100 человек и 3500+ компаний-клиентов",S1,"Компания масштабирует новые продажи и ищет руководителя направления новых продаж для системного управления двумя линиями продаж, воронкой, опережающими метриками и масштабированием B2B SaaS-продаж.",Боев Игорь Александрович; Боев Алексей Александрович; Ермаков Николай Владимирович,Боев Игорь Александрович,Боев Игорь Александрович,Генеральный директор / сооснователь,+7 (495) 268-02-88,support@planfact.io,,,https://hh.ru/employer/856661,https://planfact.io/about,,Официальный корпоративный маршрут к CEO через телефон/email/сайт и HeadHunter,Официальный сайт ПланФакт; HeadHunter; РБК Компании; Saby/ФНС,3,"Масштабирование B2B SaaS-продаж: ICP, архитектура двух линий продаж, CRM-воронка и forecasting, unit economics, KPI и связка маркетинга с коммерческой функцией.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-16T14:05:00+03:00,2026-08-16T14:05:00+03:00,N5K-20260816-255,new_5000
N5K-0276,Нити Творчества,ИП Бабак Татьяна Владимировна,540605856741,321547600141377,Удмуртская Республика / Новосибирск,E-commerce / товары для творчества / маркетплейсы,Действующий ИП; бренд заявляет 40+ млн ₽ ежемесячной выручки в 2026 году; отдел продаж 6 человек; 1000+ SKU,S1,"Бренд масштабирует продажи на маркетплейсах и собственных каналах; в феврале 2026 ищет руководителя продаж для роста валовой прибыли, оптимизации товарной матрицы и системного вывода новых SKU.",Бабак Татьяна Владимировна,Бабак Татьяна Владимировна,Бабак Татьяна Владимировна,Индивидуальный предприниматель / владелец бренда,+7 (965) 828-69-00,nititv@yandex.ru,,,https://hh.ru/employer/9726825,https://nititv.ru/kontaktyi,,Официальный маршрут к владельцу через телефон/email/сайт и профиль работодателя,Официальный сайт Нити Творчества; HeadHunter; DreamJob; Т-Банк/ФНС,3,"Рост e-commerce без потери валовой прибыли: SKU-экономика, P&L по каналам, KPI команды, forecasting, аналитика, развитие собственных каналов и снижение зависимости от маркетплейсов.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-16T14:05:00+03:00,2026-08-16T14:05:00+03:00,N5K-20260816-255,new_5000
N5K-0277,Vervex Energy / Вервекс Энерджи,ООО «ВЕРВЕКС ЭНЕРДЖИ»,7816320230,1167847105975,Санкт-Петербург,B2B химическая продукция / сервисы дезинфекции,"Действующая частная компания; выручка 693,324 млн ₽ за 2025 год; 69 сотрудников по данным ФНС за 2025 год",S1,"В январе 2026 собственник запускает B2B-направление услуг дезинфекции практически с нуля: 0 менеджеров, 0 маркетинга, требуется первый продавец-строитель с последующим формированием отдела и влиянием на стратегию направления.",Добони Артем Александрович — 100%,Добони Артем Александрович,Добони Артем Александрович,Генеральный директор / единственный учредитель,+7 (812) 407-30-16,info@vervex.ru,,,https://spb.hh.ru/vacancy/129648069,https://vervex.ru/,,Корпоративный маршрут к owner-CEO через опубликованный телефон/email/сайт и прямой HH-сигнал,HeadHunter; Companium/ФНС; Xfirm/ЕГРЮЛ,3,"Запуск нового B2B-сервисного направления: ICP и сегментация, холодная воронка, CRM, unit economics и маржинальность, первые repeatable sales motions, найм команды и переход от founder-led запуска к системному отделу.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-16T15:00:00+03:00,2026-08-16T15:00:00+03:00,N5K-20260816-256,new_5000
N5K-0278,Авангард / Avangard Дмитров,ООО «АВАНГАРД»,5007087850,1135007003515,Московская область,Производство строительных материалов / чердачные лестницы / B2B,"Действующая частная производственная компания; выручка 430,1 млн ₽ за 2025 год; 149 сотрудников за 2025 год по свежим реестровым данным",S1,"В июне 2026 компания поставила стратегическую задачу масштабировать бизнес из сильного marketplace-канала в офлайн, с нуля выстроить B2B-каналы продаж в строительные рынки, розничные сети и к дизайнерам, а также оцифровать работу укомплектованной команды продаж.",Снежко Дмитрий Борисович — 75%; Дядченко Николай Николаевич — 25%,Лоханько Сергей Владимирович,Лоханько Сергей Владимирович,Генеральный директор / практический ЛПР,+7 (495) 143-27-32,avangard-dm@bk.ru,,,https://dmitrov.hh.ru/vacancies/direktor_po_prodazham/polnaya_zanyatost,https://avangard-d.nethouse.ru/,,Корпоративный маршрут к генеральному директору через опубликованный телефон/email/сайт и актуальную вакансию работодателя,HeadHunter/Careerist; свежие реестровые источники; ProductCenter 2026,3,"Масштабирование производственного бизнеса из marketplace-модели в омниканальные B2B-продажи: сегментация DIY/строительных рынков/дилеров/дизайнеров, CRM и воронка, KPI, pricing и маржинальность каналов, стандарты KAM и план выхода в офлайн без просадки действующего e-commerce.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-16T15:59:00+03:00,2026-08-16T15:59:00+03:00,N5K-20260816-257,new_5000
N5K-0279,ТД Добромаш / Dobromash,АО «ТД ДОБРОМАШ»,9702058632,1237700524005,Москва,Промышленное оборудование / трубопроводная арматура / B2B,"Действующее непубличное АО; выручка 272,72 млн ₽ за 2025 год по данным из официальных источников ФНС/Росстата, профиль — поставки промышленного оборудования и инженерных решений",S1,"В январе 2026 компания открыла директора по продажам труб и деталей трубопроводов с ответственностью за P&L, бюджет и плановые показатели, оптимизацию CRM Битрикс24 и воронки, развитие маркетинга и системное управление B2B-продажами.",Не раскрыт в открытых источниках для непубличного АО; этого недостатка не использую как основание для выдумывания собственника,Никольский Игорь Анатольевич,Никольский Игорь Анатольевич,Генеральный директор / практический ЛПР,+7 (499) 397-71-62,info@dobromash-stanki.ru,,,https://hh.ru/vacancy/130043847,https://dobromash-stanki.ru/,,Корпоративный маршрут к генеральному директору через официальный телефон/email/сайт и актуальную вакансию работодателя,HeadHunter; официальный сайт АО ТД Добромаш; Т-Банк/ФНС,3,"Систематизация и масштабирование B2B-продаж промышленного оборудования: P&L и планирование, CRM-воронка, сегментация отраслей и KAM, KPI команды, связка маркетинга с продажами и управление маржинальностью проектных сделок.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-16T16:58:00+03:00,2026-08-16T16:58:00+03:00,N5K-20260816-258,new_5000
